L,seed,extrm_eigval
12,0,-8.578551364063363
12,1,8.495431270040852
12,2,-8.649330494055901
12,3,-8.595338794931928
12,4,8.538596558054275
12,5,8.602741765300774
12,6,-8.618225173593283
12,7,-8.49267132516469
12,8,-8.54589522544261
12,9,-8.573292598657789
12,10,8.434268793951489
12,11,-8.623425540505746
12,12,-8.601849209308462
12,13,-8.561033798116501
12,14,8.558400263859484
12,15,8.531849059410924
12,16,8.439971534875822
12,17,-8.600598809153135
12,18,-8.666418038529903
12,19,8.551506279221607
12,20,8.632883160717714
12,21,8.452585118745422
12,22,8.477941223362844
12,23,-8.589652013767656
12,24,-8.593931041480088
12,25,-8.6005937599959
12,26,-8.583647148834116
12,27,8.570633463985665
12,28,-8.581962280634391
12,29,-8.65786075189174
12,30,8.455053875914544
12,31,-8.636980298005096
12,32,8.564085180274757
12,33,-8.427311705878418
12,34,8.507661224259747
12,35,-8.442214237980801
12,36,8.520069251658414
12,37,8.748046339492365
12,38,-8.487269220625246
12,39,-8.462802559345754
12,40,-8.582643641990407
12,41,-8.557075204831191
12,42,8.556280224660592
12,43,8.620547715124669
12,44,-8.676726158906533
12,45,8.526718052629898
12,46,-8.46946579583113
12,47,8.496199484492024
12,48,8.613916148004598
12,49,8.53046095783417
12,50,8.508508003598031
12,51,8.618887768545529
12,52,8.589771160245737
12,53,-8.670569674589048
12,54,8.587562074931613
12,55,8.636932723970165
12,56,-8.607859821497005
12,57,-8.447769038140947
12,58,8.482715449857151
12,59,8.541456889335683
12,60,-8.471406876755797
12,61,-8.542152908639634
12,62,-8.493104452700326
12,63,-8.47493756806305
12,64,-8.662026695715017
12,65,-8.555805819164515
12,66,-8.545695135337157
12,67,8.498915147405574
12,68,8.534607664610473
12,69,-8.55678009063925
12,70,-8.610480101750488
12,71,-8.476008877817124
12,72,8.620377290916077
12,73,-8.520157328958717
12,74,-8.604930176801687
12,75,-8.49596805876114
12,76,8.596159609433487
12,77,8.628883405329384
12,78,-8.587791305843087
12,79,8.465713544768638
12,80,-8.511084921597897
12,81,8.67211072679651
12,82,-8.512304966817867
12,83,8.524213763751556
12,84,8.595999422433907
12,85,-8.558588304641
12,86,8.60598488978836
12,87,8.524363886477914
12,88,-8.447396821260543
12,89,-8.460288956529249
12,90,8.488365486007886
12,91,-8.568618823925823
12,92,-8.655582290284045
12,93,-8.629006286687565
12,94,-8.504990320229076
12,95,-8.501080657817115
12,96,8.643300259364967
12,97,-8.599861480661447
12,98,-8.634206254829557
12,99,-8.475706844168986
13,0,-8.695967587283812
13,1,8.707594785410759
13,2,-8.694324473228566
13,3,-8.77495341810494
13,4,8.654171184229135
13,5,-8.755767989891574
13,6,8.794281249138354
13,7,8.662656458938693
13,8,8.691732732782453
13,9,-8.782443681583132
13,10,8.743040753037317
13,11,-8.719299988943916
13,12,-8.740976191820545
13,13,8.784693325782428
13,14,8.699126172472901
13,15,-8.645112565059856
13,16,-8.562648871577876
13,17,8.745811629784288
13,18,8.734774743014842
13,19,8.70217356399333
13,20,8.767493808919296
13,21,8.630281977004067
13,22,8.686713570513541
13,23,8.706975260860627
13,24,8.797688848918904
13,25,8.701573701161477
13,26,8.668538781611163
13,27,-8.711521484610941
13,28,-8.704702554959546
13,29,8.74345544951065
13,30,8.612216838319053
13,31,-8.675466173427905
13,32,-8.695354623140735
13,33,8.632179719236296
13,34,-8.758634001060313
13,35,-8.662131125492854
13,36,-8.735438671929789
13,37,8.849154647562422
13,38,-8.777095134974338
13,39,8.656150388941695
13,40,8.799302258865135
13,41,8.67928176008338
13,42,8.741139822290114
13,43,-8.719508316673789
13,44,8.733373026888744
13,45,-8.627526012224624
13,46,8.671484947782469
13,47,-8.730404557767175
13,48,-8.80185626146472
13,49,-8.693219213632158
13,50,8.639228253022443
13,51,8.749532255459236
13,52,-8.736192491497762
13,53,8.681285385990375
13,54,-8.773769086733823
13,55,-8.869529932990437
13,56,-8.67086697427946
13,57,-8.6435558296466
13,58,-8.80862221928028
13,59,8.696874947935862
13,60,-8.632610814340019
