L,page_val
10,2.9663054768416135
11,3.216000368111948
12,3.659025493260554
13,3.908949203506136
14,4.352065867419279
15,4.602046794194885
16,5.045186345418506
17,5.295181577063294
18,5.738326850278245
19,5.988325658186369
20,6.431472361909382
21,6.681472063886228
22,7.124619125236897
23,7.374619050731101
24,7.8177662014887375
25,8.067766182862277
