ed_entanglement_entropy, naive_page_curve, exact_page_curve
# tol = 1e-05
12,3.6655770806187205,3.6588830833596715
14,4.352106816555386,4.352030263919617
12,3.6655770806187205,3.6588830833596715
14,4.352106816555413,4.352030263919617
# tol = 1e-09
12,3.6655770806187205,3.6588830833596715,3.65903
14,4.352106816555413,4.352030263919617,4.35207
# implemented Z2 symmetry
12,3.6691930470310283,3.6588830833596715
14,4.348501059427536,4.352030263919617
