L,seed,expt_H
12,0,0.00047557578187595287
12,1,0.021345865237774177
12,2,0.01198431657366474
12,3,-0.024789519877526714
12,4,0.022286727125390184
12,5,-0.008474939579889689
12,6,-0.02641083169660675
12,7,0.001060241483490035
12,8,-0.009913712114888352
12,9,0.0427077615822224
12,10,0.016951435854200125
12,11,0.008684087486548895
12,12,0.04183856649575281
12,13,-0.01173755462370975
12,14,0.018251089729335833
12,15,0.013009572314915674
12,16,-0.01038617020585926
12,17,-0.01065782566105563
12,18,0.00466240612151321
12,19,0.018153038736805172
