L,seed,expt_H
12,0,-8.664943500010366e-06
12,1,-0.01313019838716823
12,2,-0.0024569517754056847
12,3,-0.010551796020927682
12,4,0.005560083512903272
12,5,0.01586330480629963
12,6,-0.0011200028709545085
12,7,0.004439378480239543
12,8,-0.006292222703161691
12,9,0.010078566509878028
12,10,0.021190250177693798
12,11,-0.005885386699422674
12,12,0.0021200168328556327
12,13,0.005412484639754507
12,14,-0.0015773017539229388
12,15,-8.054105236360439e-05
12,16,0.0028575373486235626
12,17,-0.008197887617471058
12,18,-0.00792980549365987
12,19,-0.0013614201901494467
