8 (0, 1, 2, 3) (4, 5, 7, 10) 1485.8
8 (0, 1, 2, 3) (4, 5, 7, 11) 1485.8
8 (0, 1, 2, 3) (4, 5, 8, 9) 1485.8
8 (0, 1, 2, 3) (4, 5, 8, 10) 1485.8
8 (0, 1, 2, 3) (4, 5, 8, 11) 1485.8
8 (0, 1, 2, 3) (4, 5, 9, 10) 1485.8
8 (0, 1, 2, 3) (4, 5, 9, 11) 1485.8
8 (0, 1, 2, 3) (4, 5, 10, 11) 1485.8
8 (0, 1, 2, 3) (4, 6, 7, 8) 1485.8
8 (0, 1, 2, 3) (4, 6, 7, 9) 1485.8
8 (0, 1, 2, 3) (4, 6, 7, 10) 1485.8
8 (0, 1, 2, 3) (4, 6, 7, 11) 1485.8
8 (0, 1, 2, 3) (4, 6, 8, 9) 1485.8
8 (0, 1, 2, 3) (4, 6, 8, 10) 1485.8
8 (0, 1, 2, 3) (4, 6, 8, 11) 1485.8
8 (0, 1, 2, 3) (4, 6, 9, 10) 1485.8
8 (0, 1, 2, 3) (4, 6, 9, 11) 1485.8
8 (0, 1, 2, 3) (4, 6, 10, 11) 1485.8
8 (0, 1, 2, 3) (4, 7, 8, 9) 1485.8
8 (0, 1, 2, 3) (4, 7, 8, 10) 1485.8
8 (0, 1, 2, 3) (4, 7, 8, 11) 1485.8
8 (0, 1, 2, 3) (4, 7, 9, 10) 1485.8
8 (0, 1, 2, 3) (4, 7, 9, 11) 1485.8
8 (0, 1, 2, 3) (4, 7, 10, 11) 1485.8
8 (0, 1, 2, 3) (4, 8, 9, 10) 1485.8
8 (0, 1, 2, 3) (4, 8, 9, 11) 1485.8
8 (0, 1, 2, 3) (4, 8, 10, 11) 1485.8
8 (0, 1, 2, 3) (4, 9, 10, 11) 1485.8
8 (0, 1, 2, 3) (5, 6, 7, 8) 1485.8
8 (0, 1, 2, 3) (5, 6, 7, 9) 1485.8
8 (0, 1, 2, 3) (5, 6, 7, 10) 1485.8
8 (0, 1, 2, 3) (5, 6, 7, 11) 1485.8
8 (0, 1, 2, 3) (5, 6, 8, 9) 1485.8
8 (0, 1, 2, 3) (5, 6, 8, 10) 1485.8
