L,seed,ee
12,0,3.66450759796051
12,1,3.6394683560260805
12,2,3.653374704483932
12,3,3.654635180407957
12,4,3.6462654894507693
12,5,3.6632361989214717
12,6,3.665013969300153
12,7,3.639705289766918
12,8,3.6473213028047677
12,9,3.6557410487323145
12,10,3.6464567174543445
12,11,3.6664562281365667
12,12,3.648600485015085
12,13,3.6534971925734245
12,14,3.6616599603291435
12,15,3.659089142655664
12,16,3.6383022507250464
12,17,3.646259556503885
12,18,3.65492603320657
12,19,3.6777795071278847
14,0,4.348505915508165
14,1,4.351317058263421
14,2,4.347247452068675
14,3,4.350772311199396
14,4,4.3454326800301075
14,5,4.345153160360567
14,6,4.345269126979636
14,7,4.346695203583587
14,8,4.35985768367148
14,9,4.351848466573499
14,10,4.35112480819771
14,11,4.3479704560697385
14,12,4.343142045647258
14,13,4.341342748592568
14,14,4.357680132293418
14,15,4.354148575142558
14,16,4.352686614733235
14,17,4.348410720021971
14,18,4.3483672342714
14,19,4.348001905759203
16,0,5.044203007967937
16,1,5.041207451273019
16,2,5.041841282580146
16,3,5.039944196491593
16,4,5.044028558815535
16,5,5.0421816648685525
16,6,5.045188796250377
16,7,5.044824411682207
16,8,5.043085929758828
16,9,5.042748145336777
16,10,5.042049527212465
16,11,5.042144706795479
16,12,5.042323997228547
16,13,5.042742433672491
16,14,5.043104798112162
16,15,5.042116846715429
16,16,5.045699141297788
16,18,5.040825550826415
16,19,5.0362553591678
18,0,5.738028517313765
18,1,5.734537210259326
18,2,5.73805847111049
18,3,5.735254584763084
18,4,5.737742357634943
18,5,5.737512923188052
18,6,5.735647880524092
18,7,5.735936807750096
18,8,5.736465634994739
18,9,5.735915575012019
18,10,5.734288200129641
18,11,5.734429483929047
18,12,5.736516610345555
18,13,5.7376224866998005
18,14,5.737151012772696
18,15,5.73446055305109
18,16,5.737418526580921
18,17,5.735910586705465
18,18,5.736260784956374
18,19,5.736227484430066
20,0,6.429144241201532
20,1,6.42877367696489
20,2,6.429427317346408
20,3,6.428718236979247
20,4,6.429989664591839
20,5,6.42921666938808
20,6,6.429208638231185
20,7,6.430046543192091
20,8,6.428491526707766
20,9,6.428899853172916
20,10,6.42897747825301
20,11,6.4297886737217125
20,12,6.429147070139283
20,13,6.429186412983444
20,14,6.429646545783753
20,15,6.4297732484007035
20,16,6.429739597144386
20,17,6.429640729021848
20,18,6.4301469238964755
20,19,6.4298934271100245
22,0,7.12263072227829
22,1,7.1230342818477705
22,2,7.122658925478448
22,3,7.122818243174051
22,4,7.122316870971409
22,5,7.122915088638902
22,6,7.122736629156565
22,7,7.123242913399026
22,8,7.12303553738283
22,9,7.1224477374024255
22,10,7.12251897739391
22,11,7.122859882530433
22,12,7.1226534554165335
22,13,7.122697778269263
22,14,7.122649963457356
22,15,7.12310534485813
22,16,7.122629468793912
22,17,7.122866801635549
22,18,7.1230249230752385
22,19,7.122399573949104
