#tol = 1e-05
12,0,3.6627121361467845,3.6588830833596715
12,1,3.655218700151307,3.6588830833596715
12,2,3.6816223637211665,3.6588830833596715
12,3,3.667855355339837,3.6588830833596715
12,4,3.6625791496316706,3.6588830833596715
12,5,3.66753883199374,3.6588830833596715
12,6,3.676335825955931,3.6588830833596715
12,7,3.6565497928186312,3.6588830833596715
12,8,3.6570071995287634,3.6588830833596715
12,9,3.6683514508993817,3.6588830833596715
14,0,4.358524892035865,4.352030263919617
14,1,4.347665333172994,4.352030263919617
14,2,4.353994051071439,4.352030263919617
14,3,4.355779340612995,4.352030263919617
14,4,4.351945011687011,4.352030263919617
14,5,4.348754692200588,4.352030263919617
14,6,4.346269239853825,4.352030263919617
14,7,4.3566783811215055,4.352030263919617
14,8,4.349959343129843,4.352030263919617
14,9,4.3514978806677975,4.352030263919617
12,0,3.662712136146789,3.6588830833596715
12,1,3.655218700151304,3.6588830833596715
12,2,3.6816223637211634,3.6588830833596715
12,3,3.6678553553398303,3.6588830833596715
12,4,3.6625791496316777,3.6588830833596715
12,5,3.66753883199374,3.6588830833596715
12,6,3.67633582595594,3.6588830833596715
12,7,3.6565497928186375,3.6588830833596715
12,8,3.657007199528749,3.6588830833596715
12,9,3.6683514508993817,3.6588830833596715
14,0,4.3585248920358675,4.352030263919617
14,1,4.347665333173007,4.352030263919617
14,2,4.353994051071569,4.352030263919617
14,3,4.35577934061298,4.352030263919617
14,4,4.3519450116869995,4.352030263919617
14,5,4.348754692200622,4.352030263919617
14,6,4.346269239853882,4.352030263919617
14,7,4.356678381121538,4.352030263919617
14,8,4.349959343129838,4.352030263919617
14,9,4.351497880667818,4.352030263919617
# tol = 1e-09
12,0,3.662712136146789,3.6588830833596715
12,1,3.655218700151304,3.6588830833596715
12,2,3.6816223637211634,3.6588830833596715
12,3,3.6678553553398303,3.6588830833596715
12,4,3.6625791496316777,3.6588830833596715
12,5,3.66753883199374,3.6588830833596715
12,6,3.67633582595594,3.6588830833596715
12,7,3.6565497928186375,3.6588830833596715
12,8,3.657007199528749,3.6588830833596715
12,9,3.6683514508993817,3.6588830833596715
14,0,4.3585248920358675,4.352030263919617
14,1,4.347665333173007,4.352030263919617
14,2,4.353994051071569,4.352030263919617
14,3,4.35577934061298,4.352030263919617
14,4,4.3519450116869995,4.352030263919617
14,5,4.348754692200622,4.352030263919617
14,6,4.346269239853882,4.352030263919617
14,7,4.356678381121538,4.352030263919617
14,8,4.349959343129838,4.352030263919617
14,9,4.351497880667818,4.352030263919617
# implemented Z2 symmetry
12,0,3.6627121361447323,3.6588830833596715
12,1,3.655218700152566,3.6588830833596715
12,2,3.681622363721027,3.6588830833596715
12,3,3.6678553553374917,3.6588830833596715
12,4,3.677299243130564,3.6588830833596715
12,5,3.6675388319973194,3.6588830833596715
12,6,3.676335825949032,3.6588830833596715
12,7,3.661937680335267,3.6588830833596715
12,8,3.657007199528756,3.6588830833596715
12,9,3.684403134013526,3.6588830833596715
14,0,4.351114573171885,4.352030263919617
14,1,4.343993539477258,4.352030263919617
14,2,4.354529484856846,4.352030263919617
14,3,4.352428182182011,4.352030263919617
14,4,4.347694085816581,4.352030263919617
14,5,4.342265647473919,4.352030263919617
14,6,4.342497698181242,4.352030263919617
14,7,4.350302476879575,4.352030263919617
14,8,4.346632839340536,4.352030263919617
14,9,4.353552066895507,4.352030263919617
