L,seed,expt_H
12,0,0.008673447185112673
12,1,0.002542026764556588
12,2,-0.005776263178219247
12,3,-0.011768662603814033
12,4,-0.01616205326842975
12,5,0.007499515140216839
12,6,0.004879207092665004
12,7,0.011666111583362561
12,8,-0.005199709105844535
12,9,-0.01659540084990641
12,10,0.003905253684837075
12,11,0.009544331873649758
12,12,-0.007884313015344454
12,13,0.013014500816363246
12,14,0.017673296046671998
12,15,-0.005070559933014049
12,16,-0.003657539353282333
12,17,-0.004113674729642234
12,18,-0.0014215601512248613
12,19,0.009799192225894962
14,0,0.0018486560971466203
14,1,-0.00015981319901898388
14,2,0.005794819624427342
14,3,-0.013484518276794779
14,4,0.01207152924656725
14,5,-0.0008392828062900042
14,6,-0.0027772948732246215
14,7,0.0028362170801513624
14,8,-0.012021319988040366
14,9,0.0019177688015646521
14,10,0.003473355148751375
14,11,0.00531134172798999
14,12,0.0015421796212000966
14,13,0.002455782349343181
14,14,-0.00500740922644838
14,15,-0.001951305324909312
14,16,-0.004060200181001628
14,17,0.0014468758948642082
14,18,-0.01166406656768149
14,19,0.0051699954607804305
16,0,0.0025953528933133126
16,1,0.004391804472223452
16,2,0.0014536278414723357
16,3,-0.00275504152398575
16,4,6.490108765093807e-05
16,5,0.0014556076267364195
16,6,-0.003320714952711711
16,7,0.004496169553928879
16,8,1.1691535237741056e-05
16,9,0.0013642951345314506
16,10,-0.0022361641343756774
16,11,-0.0043293139319835125
16,12,0.00019015680760325126
16,13,0.002473948679487039
16,14,0.0033377319877078253
16,15,-0.003307001118792908
16,16,0.0031378305631862683
16,17,-0.0005137360929225751
16,18,-0.0011594198805091461
16,19,0.001806410080271926
