L,seed,expt_H16,0,0.0010300005633112922
16,1,0.0019180236835523432
16,2,-0.0018057330381170667
16,3,0.0008148642787824842
16,4,0.0023224755074776958
16,5,-1.5848254349335425e-05
16,6,-0.0007904324982583261
16,7,-0.0016132521383365108
16,8,-0.0015046643595817168
16,9,-0.0014086530778331034
16,10,-0.0011714881183120518
16,11,0.0015024672916342228
16,12,0.001835832902514405
16,13,-0.0008572611618412777
16,14,0.0009529657405848064
16,15,0.0011035520144713868
16,16,0.00030903389769013903
16,17,0.0019952243756690955
16,18,-0.001196694518005584
16,19,-7.919124619053678e-05
